Gene,org_score_in_DisGeNET,score_in_DisGeNET,org_score_in_GeneCards,score_in_GeneCards,org_score_in_CTD,score_in_CTD,avg_score
APOE,0.7,1,98.78,0.99566576,85.15,0.641769671,0.879145144
APOB,0.5,0.714285714,77.55,0.781675234,85.96,0.647874585,0.714611844
TNF,0.1,0.142857143,92.54,0.932768874,117.89,0.888528791,0.654718269
IL6,0.1,0.142857143,99.21,1,108.74,0.819565873,0.654141005
CCL2,0.3,0.428571429,61.73,0.622215502,117.24,0.883629786,0.644805572
NOS3,0.1,0.142857143,77.27,0.778852938,132.68,1,0.640570027
ACE,0.4,0.571428571,83.15,0.838121157,66.66,0.502411818,0.637320515
LDLR,0.5,0.714285714,66.34,0.668682592,66.55,0.501582756,0.628183687
PON1,0.4,0.571428571,67.96,0.685011592,76.53,0.576801326,0.611080496
EDN1,0.3,0.428571429,59.64,0.601149078,101.12,0.762134459,0.597284989
IL1B,0.1,0.142857143,76.52,0.771293216,113,0.851673199,0.588607853
LPL,0.4,0.571428571,63.11,0.636125391,70.97,0.53489599,0.580816651
ABCA1,0.2,0.285714286,80.86,0.815038807,77.49,0.58403678,0.561596624
CD40LG,0.24,0.342857143,66.3,0.668279407,72.77,0.548462466,0.519866339
MMP9,0.3,0.428571429,42.86,0.432012902,91.59,0.690307507,0.516963946
VEGFA,0.1,0.142857143,64.94,0.654571112,99.67,0.751205909,0.516211388
MTHFR,0.5,0.714285714,61.68,0.621711521,22.06,0.166264697,0.500753977
TGFB1,0.1,0.142857143,58.45,0.589154319,101.66,0.766204402,0.499405288
APOA1,0.1,0.142857143,73.61,0.741961496,80.64,0.607778113,0.497532251
MMP3,0.4,0.571428571,53.27,0.536941841,48.58,0.366144106,0.491504839
IL10,0.1,0.142857143,76.64,0.772502772,69.72,0.525474827,0.480278247
LPA,0.5,0.714285714,56.06,0.565064006,18.43,0.138905638,0.472751786
PLA2G7,0.5,0.714285714,39.29,0.396028626,35.65,0.268691589,0.459668643
LEP,0.1,0.142857143,46.44,0.468097974,101.34,0.763792584,0.458249234
CRP,0.1,0.142857143,59.07,0.595403689,80.83,0.60921013,0.449156987
CD36,0.4,0.571428571,41.94,0.422739643,45.5,0.342930359,0.445699524
AGT,0.1,0.142857143,40.62,0.409434533,102.01,0.768842327,0.440378001
PPARG,0.1,0.142857143,58.07,0.58532406,77.62,0.585016581,0.437732595
