ID,Description,BgRatio,pvalue,padjust,qvalue,geneID,gene_name,rankScore,Count
hsa05010,Alzheimer disease,369/8077,1.64E-07,2.07E-05,1.04E-05,351/4137/836/2932/23621/102/4843/5743,"APP,MAPT,CASP3,GSK3B,BACE1,ADAM10,NOS2,PTGS2",0.354379198,8
hsa05222,Small cell lung cancer,92/8077,6.80E-07,4.28E-05,2.15E-05,836/596/4843/581/5743,"CASP3,BCL2,NOS2,BAX,PTGS2",0.185032517,5
hsa05022,Pathways of neurodegeneration - multiple diseases,475/8077,1.14E-06,4.80E-05,2.40E-05,351/4137/836/2932/596/4843/581/5743,"APP,MAPT,CASP3,GSK3B,BCL2,NOS2,BAX,PTGS2",0.303717538,8
hsa05210,Colorectal cancer,86/8077,1.98E-05,0.000623038,0.0003123,836/2932/596/581,"CASP3,GSK3B,BCL2,BAX",0.104275131,4
hsa04215,Apoptosis - multiple species,32/8077,3.05E-05,0.000754246,0.000378068,836/596/581,"CASP3,BCL2,BAX",0.076100145,3
hsa04933,AGE-RAGE signaling pathway in diabetic complications,100/8077,3.59E-05,0.000754246,0.000378068,836/4846/596/581,"CASP3,NOS3,BCL2,BAX",0.103871753,4
hsa05162,Measles,139/8077,0.000130178,0.002343212,0.001174542,836/2932/596/581,"CASP3,GSK3B,BCL2,BAX",0.085560592,4
hsa05152,Tuberculosis,180/8077,0.000352003,0.004459957,0.002235568,836/596/4843/581,"CASP3,BCL2,NOS2,BAX",0.072967581,4
hsa01524,Platinum drug resistance,73/8077,0.00036455,0.004459957,0.002235568,836/596/581,"CASP3,BCL2,BAX",0.05728968,3
hsa04115,p53 signaling pathway,73/8077,0.00036455,0.004459957,0.002235568,836/596/581,"CASP3,BCL2,BAX",0.05728968,3
hsa05202,Transcriptional misregulation in cancer,192/8077,0.000450109,0.004459957,0.002235568,5328/4353/581/5468,"PLAU,MPO,BAX,PPARG",0.056786411,4
hsa05167,Kaposi sarcoma-associated herpesvirus infection,193/8077,0.000459084,0.004459957,0.002235568,836/2932/581/5743,"CASP3,GSK3B,BAX,PTGS2",0.093069313,4
hsa01521,EGFR tyrosine kinase inhibitor resistance,79/8077,0.000460154,0.004459957,0.002235568,2932/596/581,"GSK3B,BCL2,BAX",0.041618374,3
hsa04657,IL-17 signaling pathway,94/8077,0.000765962,0.00622186,0.003118727,836/2932/5743,"CASP3,GSK3B,PTGS2",0.075671939,3
hsa05163,Human cytomegalovirus infection,225/8077,0.000819641,0.00622186,0.003118727,836/2932/581/5743,"CASP3,GSK3B,BAX,PTGS2",0.087344625,4
hsa00220,Arginine biosynthesis,22/8077,0.000830494,0.00622186,0.003118727,4846/4843,"NOS3,NOS2",0.034334576,2
hsa05215,Prostate cancer,97/8077,0.000839457,0.00622186,0.003118727,2932/5328/596,"GSK3B,PLAU,BCL2",0.035508113,3
hsa04064,NF-kappa B signaling pathway,104/8077,0.001028072,0.007196505,0.003607271,5328/596/5743,"PLAU,BCL2,PTGS2",0.041260411,3
hsa04066,HIF-1 signaling pathway,109/8077,0.001178036,0.007812241,0.00391591,4846/596/4843,"NOS3,BCL2,NOS2",0.041762673,3
hsa05145,Toxoplasmosis,112/8077,0.001274328,0.008028268,0.004024194,836/596/4843,"CASP3,BCL2,NOS2",0.053956092,3
hsa04726,Serotonergic synapse,115/8077,0.001375472,0.00825283,0.004136757,351/836/5743,"APP,CASP3,PTGS2",0.078968943,3
hsa04071,Sphingolipid signaling pathway,119/8077,0.001518037,0.008316205,0.004168524,4846/596/581,"NOS3,BCL2,BAX",0.038357418,3
hsa04722,Neurotrophin signaling pathway,119/8077,0.001518037,0.008316205,0.004168524,2932/596/581,"GSK3B,BCL2,BAX",0.036827525,3
hsa04210,Apoptosis,136/8077,0.00222693,0.011691385,0.005860343,836/596/581,"CASP3,BCL2,BAX",0.047089287,3
hsa05216,Thyroid cancer,37/8077,0.002353291,0.011860588,0.005945157,581/5468,"BAX,PPARG",0.025444951,2
hsa05206,MicroRNAs in cancer,310/8077,0.002685533,0.013014507,0.006523563,836/5328/596/5743,"CASP3,PLAU,BCL2,PTGS2",0.064260261,4
hsa05226,Gastric cancer,149/8077,0.002888404,0.013247025,0.006640113,2932/596/581,"GSK3B,BCL2,BAX",0.033247714,3
hsa04932,Non-alcoholic fatty liver disease,150/8077,0.002943783,0.013247025,0.006640113,836/2932/581,"CASP3,GSK3B,BAX",0.053097145,3
hsa05160,Hepatitis C,157/8077,0.003349969,0.014310575,0.007173221,836/2932/581,"CASP3,GSK3B,BAX",0.052148836,3
hsa05165,Human papillomavirus infection,331/8077,0.00340728,0.014310575,0.007173221,836/2932/581/5743,"CASP3,GSK3B,BAX,PTGS2",0.073022492,4
hsa05161,Hepatitis B,162/8077,0.003660292,0.014877315,0.007457301,836/596/581,"CASP3,BCL2,BAX",0.044538584,3
hsa04340,Hedgehog signaling pathway,50/8077,0.004264052,0.016789704,0.008415892,2932/596,"GSK3B,BCL2",0.02203389,2
hsa00330,Arginine and proline metabolism,51/8077,0.004432978,0.016925917,0.008484169,4846/4843,"NOS3,NOS2",0.027570132,2
hsa05014,Amyotrophic lateral sclerosis,364/8077,0.004795933,0.017773164,0.008908854,836/596/4843/581,"CASP3,BCL2,NOS2,BAX",0.054329392,4
hsa05213,Endometrial cancer,58/8077,0.005701016,0.020523659,0.010287548,2932/581,"GSK3B,BAX",0.022699687,2
hsa04370,VEGF signaling pathway,59/8077,0.005894252,0.020629882,0.010340793,4846/5743,"NOS3,PTGS2",0.03406694,2
hsa05217,Basal cell carcinoma,63/8077,0.006696968,0.022499556,0.011277973,2932/581,"GSK3B,BAX",0.022162786,2
hsa05169,Epstein-Barr virus infection,202/8077,0.00678558,0.022499556,0.011277973,836/596/581,"CASP3,BCL2,BAX",0.040160233,3
